Title,Subject Description,Course Number,Section,Hours,CRN,Term,Instructor,Meeting Times,Campus,Status,Attribute
Lab for INFO 5100 (Lab),Information Systems Program,5101,5,0,17631,Fall 2025 Semester,"Bugrara, Suhabe (Primary)",None Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",26 of 30 seats remain. 15 of 15 waitlist seats remain. ,GSEN Information Systems
Data Science Engineering Methods and Tools (Lecture),Information Systems Program,6105,8,4,17647,Fall 2025 Semester,"Gupta, Pramod (Primary)",Monday 12:30 PM - 03:50 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",20 of 40 seats remain. 15 of 15 waitlist seats remain. ,GSEN Information Systems
Program Structure and Algorithms (Lecture),Information Systems Program,6205,8,4,17672,Fall 2025 Semester,"Vasudevamurthy, Jagadeesh (Primary)",Wednesday 05:00 PM - 08:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",25 of 40 seats remain. 15 of 15 waitlist seats remain. ,GSEN Information Systems
Smartphones-Based Web Development (Lecture),Information Systems Program,6350,3,4,17711,Fall 2025 Semester,"Oza, Taral (Primary)",Tuesday 06:00 PM - 09:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",20 of 30 seats remain. 15 of 15 waitlist seats remain. ,GSEN Information Systems
ST: Adv Techniques With LLM (Lecture),Information Systems Program,7374,5,4,17724,Fall 2025 Semester,"Lai, Brian (Primary)",Monday 05:00 PM - 08:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",18 of 30 seats remain. 15 of 15 waitlist seats remain. ,"GSEN Information Systems, Topics Course"
Machine Learning Med Devices (Lecture),Information Systems Program,7374,6,4,17725,Fall 2025 Semester,"Oza, Taral (Primary)",Thursday 06:00 PM - 09:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",18 of 30 seats remain. 15 of 15 waitlist seats remain. ,"GSEN Information Systems, Topics Course"
ST: Data Visualization (Lecture),Information Systems Program,7374,7,4,17726,Fall 2025 Semester,"Gupta, Pramod (Primary)",Wednesday 12:30 PM - 03:50 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",25 of 30 seats remain. 15 of 15 waitlist seats remain. ,"GSEN Information Systems, Topics Course"
Cryptocurrency and Smart Contract Engineering (Lecture),Information Systems Program,7500,1,4,17743,Fall 2025 Semester,"Bugrara, Suhabe (Primary)",Thursday 09:00 AM - 12:20 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",27 of 30 seats remain. 15 of 15 waitlist seats remain. ,GSEN Information Systems
Foundations of Artificial Intelligence (Lecture),Computer Science,5100,6,4,20128,Fall 2025 Semester,"Saad, Nadim (Primary)",Monday and Wednesday 12:00 PM - 01:40 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",13 of 45 seats remain. 10 of 10 waitlist seats remain.,"GSCS Computer & Info Science, NU Core Capstone, NUpath Capstone Experience, NU Core Writing Intsv in Majr, NUpath Writing Intensive"
Computer Systems (Lecture),Computer Science,5600,7,4,20129,Fall 2025 Semester,"Amjad, Tehmina (Primary)",Tuesday and Thursday 01:00 PM - 02:40 PM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",13 of 40 seats remain. 10 of 10 waitlist seats remain.,GSCS Computer & Info Science
Experiential Integration Seminar (Seminar),Coop/Experiential Education,5945,12,0,20111,Fall 2025 Semester,TBD,"Monday 06:00 PM - 07:00 PM Type: Class Building: None Room: None Date: 09/22/2025, 10/06/2025, 10/20/2025, 11/03/2025, 11/17/2025","Silicon Valley, CA",30 of 30 seats remain. ,COOP Course
Introduction to Python for Information Systems (Lecture),Information Systems Program,5002,3,4,20248,Fall 2025 Semester,"Gupta, Pramod (Primary)",Monday and Wednesday 10:00 AM - 11:40 AM Type: Class Building: None Room: None Start Date: 09/03/2025 End Date: 12/14/2025,"Silicon Valley, CA",30 of 30 seats remain. 15 of 15 waitlist seats remain.,GSEN Information Systems
