Title,Subject Description,Course Number,Section,Hours,CRN,Term,Instructor,Meeting Times,Campus,Status,Attribute
Object-Oriented Design (Lecture),Computer Science,5004,3,4,53128,Summer Full 2025 Semester,"Sharif Rohani, Aida (Primary)",Monday 03:00 PM - 06:20 PM Type Class Building: Northeastern San Jose Room: 912 Start Date: 05/05/2025 End Date: 08/16/2025,"Silicon Valley, CA", FULL: 0 of 20 seats remain. 10 of 10 waitlist ,GSCS Computer & Info Science
Recitation for CS 5004 (Recitation/Discussion),Computer Science,5005,2,0,53129,Summer Full 2025 Semester,"Sharif Rohani, Aida (Primary)",Friday 05:00 PM - 06:30 PM Type Class Building: Northeastern San Jose Room: 912 Start Date: 05/05/2025 End Date: 08/16/2025,"Silicon Valley, CA", FULL: 0 of 20 seats remain. 10 of 10 waitlist ,GSCS Computer & Info Science
"Data Structures, Algorithms, and Their Applications within Computer Systems (Lecture)",Computer Science,5008,4,4,53130,Summer Full 2025 Semester,"Chen, Crane (Primary)",Friday 01:00 PM - 04:20 PM Type Class Building: Northeastern San Jose Room: 903 Start Date: 05/05/2025 End Date: 08/16/2025,"Silicon Valley, CA",3 of 25 seats remain. 10 of 10 waitlist ,GSCS Computer & Info Science
Recitation for CS 5008 (Recitation/Discussion),Computer Science,5009,4,0,53131,Summer Full 2025 Semester,"Chen, Crane (Primary)",Saturday 01:00 PM - 02:30 PM Type: Class Building: Northeastern San Jose Room: 902 Start Date: 05/05/2025 End Date: 08/16/2025,"Silicon Valley, CA",3 of 25 seats remain. 10 of 10 waitlist ,GSCS Computer & Info Science
Foundations of Software Engineering (Lecture),Computer Science,5500,2,4,53171,Summer Full 2025 Semester,"Mathapathi, Shivakumar (Primary)",Tuesday 05:00 PM - 08:20 PM Type: Class Building: None Room: None Start Date: 05/05/2025 End Date: 08/16/2025,"Silicon Valley, CA",34 of 40 seats remain. 15 of 15 waitlist ,GSCS Computer & Info Science NU Core Writing Intsv in Majr NUpath Writing Intensive
Fundamentals of Cloud Computing (Lecture),Computer Science,6620,2,4,53133,Summer Full 2025 Semester,"Cheng, Zhuoqun (Primary)",Wednesday 05:00 PM - 08:20 PM Type: Class Building: Northeastern San Jose Room: 906 Start Date: 05/05/2025 End Date: 08/16/2025,"Silicon Valley, CA",23 of 46 seats remain. 20 of 20 waitlist ,GSCS Computer & Info Science
ST: Managing Op Risk for Engs (Lecture),Information Systems Program,7374,3,4,53310,Summer Full 2025 Semester,"Sieczkowski, Kaleigh (Primary)",Friday 12:00 PM - 03:20 PM Type: Class Building: Northeastern San Jose Room: 902 Start Date: 05/05/2025 End Date: 08/16/2025,"Silicon Valley, CA",7 of 10 seats remain. 5 of 5 waitlist ,GSEN Information Systems (Topics Course)
Cryptocurrency and Smart Contract Engineering (Lecture),Information Systems Program,7500,2,4,53312,Summer Full 2025 Semester,"Bugrara, Suhabe (Primary)",Thursday 09:00 AM - 12:20 PM Type: Class Building: Northeastern San Jose Room: 902 Start Date: 05/05/2025 End Date: 08/16/2025,"Silicon Valley, CA",29 of 30 seats remain. 15 of 15 waitlist ,GSEN Information Systems
Pattern Recognition and Computer Vision (Lecture),Computer Science,5330,1,4,42213,Summer 1 2025 Semester,"Lee, Jeongkyu (Primary)",Tuesday and Friday 01:00 PM - 04:20 PM Type: Class Building: None Room: None Start Date: 05/05/2025 End Date: 08/16/2025,"Silicon Valley, CA",9 of 30 seats remain. 10 of 10 waitlist ,GSCS Computer & Info Science
